TIME,GDP,CPI,UNRATE,IR,BOP
2014 Q3,1.7,1.7831540,6.1,0.09,-89189
2014 Q4,0.4,1.2480280,5.7,0.10,-102784
2015 Q1,-0.2,-0.0626959,5.5,0.11,-99395
2015 Q2,2.3,-0.0382720,5.4,0.13,-99475
2015 Q3,1.1,0.1095034,5.1,0.13,-109927
2015 Q4,0.0,0.4662646,5.0,0.16,-99657
2016 Q1,-0.3,1.0802670,4.9,0.36,-104015
2016 Q2,2.7,1.0470630,4.9,0.37,-100481
2016 Q3,1.0,1.1176150,4.9,0.39,-99562
2016 Q4,1.9,1.8006210,4.8,0.45,-92158
2017 Q1,2.1,2.5393200,4.6,0.70,-85463
2017 Q2,1.1,1.9019910,4.4,0.95,-103940
2017 Q3,2.1,1.9669250,4.3,1.15,-85766
2017 Q4,2.5,2.1175580,4.2,1.20,-92446
2018 Q1,2.6,2.2141950,4.0,1.45,-96923
2018 Q2,2.9,2.7118870,3.9,1.74,-94154
2018 Q3,1.7,2.6409400,3.8,1.93,-119449
2018 Q4,1.7,2.2031310,3.8,2.22,-129323
2019 Q1,1.2,1.6449360,3.9,2.40,-115129
2019 Q2,2.1,1.8113760,3.6,2.40,-117007
2019 Q3,1.3,1.7574880,3.6,2.19,-110158
2019 Q4,1.2,2.0329140,3.6,1.65,-99458
2020 Q1,1.9,2.1186520,3.8,1.25,-100532
2020 Q2,-1.5,0.3642956,13.0,0.06,-150361
2020 Q3,3.5,1.2223860,8.8,0.09,-168929
2020 Q4,2.7,1.2394880,6.8,0.09,-181379
2021 Q1,5.2,1.8985140,6.2,0.08,-189504
2021 Q2,6.3,4.8489450,5.9,0.07,-211235
2021 Q3,6.1,5.3356930,5.1,0.09,-234993
2021 Q4,7.1,6.6891060,4.2,0.08,-232248
2022 Q1,8.4,7.9667070,3.8,0.12,-291819
2022 Q2,9.4,8.6356120,3.6,0.77,-263099
2022 Q3,4.6,8.3294750,3.5,2.18,-230529
2022 Q4,3.7,7.1016720,3.6,3.65,-226651
2023 Q1,3.7,5.8047700,3.5,4.51,-230330
2023 Q2,1.8,3.9742920,3.5,4.99,-232603
2023 Q3,3.2,3.5142900,3.7,5.26,-220659
2023 Q4,1.6,3.2434010,3.8,5.33,-221784
2024 Q1,3.0,3.2410190,3.8,5.33,-240984
2024 Q2,2.5,3.1988860,4.0,5.33,-275031
2024 Q3,1.9,2.6214930,4.2,5.26,-310948
